text,true_label,predicted_label
mình thách 24h nói người bảo are thử thách biến thành bé,neutral,neutral
đỉnh,praise,neutral
top1 trending thui,neutral,neutral
50tr view rồi,neutral,neutral
đen vâu ơi beat nhạc bản không xin chia sẻ mọi người mình muốn hát bài chúc mọi người năm mới 2021 bình an mạnh khỏe hạnh phúc xin cảm on 112021 jp,neutral,neutral
cảm ơn tất,neutral,neutral
tháng 23 lần nhà quê trà vinh quận 7,neutral,neutral
bài hát tuyệt,praise,neutral
đường nhà tim dẫu nắng mưa gần xa thất bát vang danh nhà luôn chờ đường nhà tim dẫu muôn trùng vật đổi dời nhà luôn nhà lao vào đời mà kiếm cơm lao vào đời tìm cơ hội những thành thị thường lấp lánh còn đêm thành thị thường trơ trọi như mọi đứa trẻ khác lớn lên muốn xa hoài nhà thì vẫn ở yên đó đợi những đứa ngoài bước ngoài mới biết không ở đâu bằng ở nhà biết có gì để mất trước sẵn sàng mở quà không phải là võ sĩ nhưng mà phải giỏi đấu đá nhiều kiệt sức chỉ vì gắng giữ mình không xấu xa đôi lúc bỗng thấy đồng cảm với mai an tiêm bước chân là sóng gió chỉ có nhà mãi an yên ngoài phức tạp như rễ má và dây mơ về nhà để có lúc phép mình được ngây thơ mang bao nao nức xe trọn niềm thao thức suốt đêm ngày dòng người phố mang sắc mai hương đào tìm nơi ấm êm đường nhà tim dẫu nắng mưa gần xa thất bát vang danh nhà luôn chờ đường nhà tim dẫu muôn trùng vật đổi dời nhà luôn nhà về ngôi nhà có góc vườn nhiều chó nhiều gà đám bạn nói khó chiều và lại thích gió trời hơn gió điều hoà về ăn cơm mẹ nấu về mặc áo mẹ may về đưa ba chợ mua cây đào cây mai về bày cả năm trời làm việc nhiều rã rời như cái máy về nhà thấy áp lực nhẹ như bấc thổi cái là bay ấm êm hơn bếp lửa ngọt bùi hơn lúa non nhà vẫn luôn ở đó mong chờ những đứa dẫu mưa nắng không bao giờ nề hà hạnh phúc chỉ đơn giản là còn được về nhà hạnh phúc về nhà cô đơn về nhà thành công về nhà thất bại về nhà mệt quá về nhà mông lung về nhà chênh vênh về nhà không có việc gì vậy thì về nhà không nhà nhà nhà đường nhà tim dẫu nắng mưa gần xa thất bát vang danh nhà luôn chờ đường nhà tim dẫu muôn trùng vật đổi dời nhà luôn nhà nhà thể lớn thể nhỏ thể không khang trang cha mẹ muốn sống đàng hoàng lớn người mong tương lai xán lạn cặm cụi đời không bao giờ thấy than van đường nhà tim dẫu nắng mưa gần xa thất bát vang danh nhà luôn chờ đường nhà tim dẫu muôn trùng vật đổi dời nhà luôn nhà,praise,neutral
hơn yêu,praise,neutral
