word,part_of_speech,meaning,example
a di đà phật,danh từ,Phật A Di Đà (vị Phật lớn nhất ở Cõi Cực Lạc; người theo đạo Phật dùng để niệm Phật hoặc chào nhau): na mô A Di Đà Phật!,na mô A Di Đà Phật!
a dua,động từ,"làm theo, bắt chước theo việc làm sai trái của người khác: a dua theo bọn xấu làm bậy",a dua theo bọn xấu làm bậy
ả,danh từ,"(cũ) người con gái: ""Đầu lòng hai ả tố nga, Thuý Kiều là chị em là Thuý Vân."" (TKiều)","""Đầu lòng hai ả tố nga, Thuý Kiều là chị em là Thuý Vân."" (TKiều)"
ả,danh từ,(khẩu ngữ) từ dùng để chỉ người phụ nữ nào đó với ý coi thường: mấy ả gái điếm * ả đã thực hiện nhiều vụ lừa đảo,mấy ả gái điếm * ả đã thực hiện nhiều vụ lừa đảo
ả,danh từ,"(phương ngữ) chị: tại anh tại ả, tại cả đôi bên (tng)","tại anh tại ả, tại cả đôi bên (tng)"
á,cảm từ,tiếng thốt ra biểu lộ sự sửng sốt hoặc cảm giác đau đột ngột: á đau!,á đau!
á à,cảm từ,"(khẩu ngữ) tiếng thốt ra biểu thị ý ngạc nhiên như mới vỡ lẽ ra điều gì: ""Á à, anh này giỏi nhỉ? Anh định sinh sự với tôi chắc."" (NgĐLạp; 2)","""Á à, anh này giỏi nhỉ? Anh định sinh sự với tôi chắc."" (NgĐLạp; 2)"
ạ,trợ từ,"từ biểu thị ý kính trọng hoặc thân mật khi nói chuyện với ai: cháu chào bà ạ! * thôi chị ạ, nghĩ làm gì cho thêm mệt!","cháu chào bà ạ! * thôi chị ạ, nghĩ làm gì cho thêm mệt!"
à,trợ từ,(khẩu ngữ) từ biểu thị ý hỏi để rõ thêm về điều mình có phần ngạc nhiên: vẫn còn ngủ đấy à? * mai đã chủ nhật rồi cơ à? * thế à?,vẫn còn ngủ đấy à? * mai đã chủ nhật rồi cơ à? * thế à?
à,cảm từ,"(khẩu ngữ) tiếng thốt ra trong đối thoại biểu lộ ý chợt nhận ra hay chợt nhớ ra điều gì: à, thì ra là thế! * à quên, anh vừa nói gì nhỉ?","à, thì ra là thế! * à quên, anh vừa nói gì nhỉ?"
a di đà,danh từ,(khẩu ngữ) A Di Đà Phật (nói tắt): na mô A Di Đà,na mô A Di Đà
à à,động từ,"(hiếm) từ gợi tả sự chuyển động nhanh, mạnh và dồn dập với số lượng lớn theo một hướng nhất định: đàn ong bay theo à à  * bọn trẻ à à ra sân",đàn ong bay theo à à  * bọn trẻ à à ra sân
a,danh từ,"nông cụ gồm hai lưỡi cắt tra vào cán dài, để cắt cỏ hay gặt lúa: rèn một lưỡi a bằng ba lưỡi hái (tng)",rèn một lưỡi a bằng ba lưỡi hái (tng)
a,động từ,"sấn vào, xông vào: a vào giật cho bằng được",a vào giật cho bằng được
a,trợ từ,"(Ít dùng) từ biểu thị ý hỏi, hơi lấy làm lạ hoặc hơi mỉa mai: bây giờ mới đi a? * thật thế a?",bây giờ mới đi a? * thật thế a?
a,cảm từ,"tiếng thốt ra biểu lộ sự vui mừng, ngạc nhiên hoặc sực nhớ điều gì: a mẹ đã về! * a, mình nhớ ra rồi!  * ""A a a... Anh Tràng! Anh Tràng đã về chúng mày ơi!"" (KLân; 9)","a mẹ đã về! * a, mình nhớ ra rồi!  * ""A a a... Anh Tràng! Anh Tràng đã về chúng mày ơi!"" (KLân; 9)"
a,cảm từ,.  are (viết tắt).,khán đài A * sản phẩm đạt loại A * số nhà 4A (trước 4B)
a,cảm từ,ampere (viết tắt).,giấy khổ A4 (kích cỡ 210 x 297mm) * photocopy đồ án trên giấy A3 (kích cỡ 297 x 420mm)
a ha,cảm từ,"tiếng thốt ra biểu lộ sự mừng rỡ, tán thưởng: a ha, thắng rồi! * ""Chúng mày ơi! Thầy úp được con chó rồi!... a ha."" (NCao; 30)","a ha, thắng rồi! * ""Chúng mày ơi! Thầy úp được con chó rồi!... a ha."" (NCao; 30)"
a lô,cảm từ,"tiếng gọi dùng trong điện thoại hoặc khi gọi loa để gợi sự chú ý: alô, ai gọi đấy ạ? * alô, alô, đồng bào chú ý","alô, ai gọi đấy ạ? * alô, alô, đồng bào chú ý"
a hoàn,danh từ,"(cũ) người đầy tớ gái trong xã hội phong kiến Trung Quốc thời xưa: ""A hoàn một lũ nối theo, Quạt tha thướt phẩy, lò dìu dặt mang."" (NĐM)","""A hoàn một lũ nối theo, Quạt tha thướt phẩy, lò dìu dặt mang."" (NĐM)"
á hậu,danh từ,"người chiếm giải nhì, sau hoa hậu (trong một cuộc thi sắc đẹp): đoạt danh hiệu á hậu thế giới",đoạt danh hiệu á hậu thế giới
a ma tơ,tính từ,"(khẩu ngữ) (phong cách, lối làm việc) phóng túng, tuỳ thích, không có sự chuyên tâm: thông minh nhưng chủ quan, học hành rất a ma tơ * tính a ma tơ","thông minh nhưng chủ quan, học hành rất a ma tơ * tính a ma tơ"
á kim,danh từ,"tên gọi chung các đơn chất không có ánh kim, dẫn điện và dẫn nhiệt kém: arsenic, silicium là những nguyên tố á kim","arsenic, silicium là những nguyên tố á kim"
à ơi,cảm từ,"tiếng đệm trong lời ru: ""À ơi! Cái ngủ mày ngủ cho lâu, Mẹ mày đi cấy đồng sâu chưa về."" (ca dao)","""À ơi! Cái ngủ mày ngủ cho lâu, Mẹ mày đi cấy đồng sâu chưa về."" (ca dao)"
ạ ơi,cảm từ,"tiếng đệm trong lời ru: ""À ơi! Cái ngủ mày ngủ cho lâu, Mẹ mày đi cấy đồng sâu chưa về."" (ca dao)","""À ơi! Cái ngủ mày ngủ cho lâu, Mẹ mày đi cấy đồng sâu chưa về."" (ca dao)"
á thánh,danh từ,"danh hiệu người đời tặng cho bậc có vốn hiểu biết rộng và phẩm chất đạo đức cao, đứng sau bậc thánh trong nho giáo: Mạnh Tử được người đời xếp vào hàng á thánh, sau Khổng Tử","Mạnh Tử được người đời xếp vào hàng á thánh, sau Khổng Tử"
á thánh,động từ,(khẩu ngữ) chào (theo cách nói của trẻ con): ạ bác đi con * ạ mẹ đi nào!,ạ bác đi con * ạ mẹ đi nào!
à uôm,,"(hiếm) lẫn lộn, mập mờ: công tư phải rạch ròi, đừng có à uôm","công tư phải rạch ròi, đừng có à uôm"
à uôm,,"(khẩu ngữ) qua loa, cốt cho có, cho xong: quen thói à uôm",quen thói à uôm
a-mi-đan,danh từ,"mô bạch huyết ở họng người, tròn và to bằng đầu ngón tay: sưng amygdala * cắt amygdala",sưng amygdala * cắt amygdala
a tòng,động từ,"tham gia vào (việc làm sai trái dưới sự điều khiển của người khác) một cách thiếu suy nghĩ hoặc do bị cưỡng ép: xử tội kẻ chủ mưu, tha cho bọn a tòng","xử tội kẻ chủ mưu, tha cho bọn a tòng"
ác báo,động từ,"(cũ) (người đã làm điều ác) lại gặp phải điều ác, theo quan niệm của đạo Phật: làm điều ác sẽ bị ác báo",làm điều ác sẽ bị ác báo
ác bá,danh từ,"(Từ cũ) kẻ có nhiều tội ác, dựa vào quyền thế đè nén, áp bức nông dân cả một vùng: bọn cường hào ác bá",bọn cường hào ác bá
abscess,danh từ,khối mủ tụ trong một bộ phận cơ thể do nhiễm trùng mà thành: nhọt là một loại abscess trong da,nhọt là một loại abscess trong da
ác,tính từ,"(người hoặc việc) gây ra hoặc thích gây ra điều có hại cho người khác: việc/tội ác * Con người ở ác (= luôn làm chuyện hại người khác) sẽ gặp điều ác. * Thằng Tây nó ác lắm, đồng chí ạ. (Nguyễn Đình Thi) * Đợt lũ lần này ác (= gây hại nhiều) quá!","việc/tội ác * Con người ở ác (= luôn làm chuyện hại người khác) sẽ gặp điều ác. * Thằng Tây nó ác lắm, đồng chí ạ. (Nguyễn Đình Thi) * Đợt lũ lần này ác (= gây hại nhiều) quá!"
ác,tính từ,"(Hán) dữ, không tốt lành: ác cảm * ác mộng",ăn ở độc ác * thủ đoạn độc ác
ác,tính từ,"(thông tục) xấu xa, khắt khe: Mày ác quá! Nó còn nhỏ mà đã bắt nó làm đủ thứ chuyện rồi. * Ông thầy đó ác với học trò lắm.",quân ác ôn * Đồ ác ôn!
ác,tính từ,(thông tục) nghịch ngợm quá đáng:  Tụi nhỏ chơi ác quá! Cái áo mới mặc chưa gì đã bị tụi nó làm dơ.,ác cảm * ác mộng
ác,danh từ,"nhánh cây mới đâm ra, đầu nụ có hoa: Cây mới trồng đã đâm nhánh ác.",Cây mới trồng đã đâm nhánh ác.
ác,danh từ,"(cũ) con quạ: Ác tắm thì ráo, sáo tắm thì mưa. (tục ngữ)","Ác tắm thì ráo, sáo tắm thì mưa."
ác,danh từ,"(cũ, văn chương) mặt trời: Trông ra ác đã ngậm gương non đoài. (Nguyễn Du) ĐỒNG ác vàng, kim ô",Trông ra ác đã ngậm gương non đoài.
ác,phụ từ,(lóng) dùng sau từ cần nhấn mạnh: Con nhỏ kia đẹp ác! * Chiếc xe đó chạy nhanh ác!,Con nhỏ kia đẹp ác! * Chiếc xe đó chạy nhanh ác!
ác cái là,,"(khẩu ngữ) không may là, khó khăn là (cho nên việc nói đến bị trở ngại, không thực hiện được): đi sớm, nhưng ác cái là xe hỏng giữa đường","đi sớm, nhưng ác cái là xe hỏng giữa đường"
ác giả ác báo,,"làm điều ác thì mình hoặc con cháu sẽ phải gánh chịu cái ác, theo quan niệm của đạo Phật: ""Ác giả ác báo vần xoay, Hại nhân nhân hại sự nay đã thường."" (ca dao)","""Ác giả ác báo vần xoay, Hại nhân nhân hại sự nay đã thường."" (ca dao)"
ác cảm,,"có cảm giác không ưa, phần nào thấy ghét: mối ác cảm * không ai ác cảm gì với nó!",mối ác cảm * không ai ác cảm gì với nó!
ác hại,tính từ,"có hại lớn, gây tổn thất lớn: trận mưa đá ác hại",trận mưa đá ác hại
ác khẩu,tính từ,hay nói những lời độc địa: đừng có ác khẩu! * ác khẩu nhưng không ác tâm,đừng có ác khẩu! * ác khẩu nhưng không ác tâm
ác đức,tính từ,"(cũ, hiếm) thường hay làm điều ác, không có cái đức (âm đức) để lại cho con cháu, theo tín ngưỡng dân gian: nghề ác đức * ăn ở ác đức",nghề ác đức * ăn ở ác đức
ác hiểm,tính từ,nguy hiểm đáng sợ: mưu mô ác hiểm * ngón đòn ác hiểm,mưu mô ác hiểm * ngón đòn ác hiểm
ác chiến,động từ,"chiến đấu cực kì ác liệt, có nhiều thương vong: trận ác chiến",trận ác chiến
ác liệt,tính từ,"(hoạt động đối lập nhau) rất gay gắt, quyết liệt, gây ra nhiều thiệt hại đáng sợ: cuộc chiến ác liệt * địch đánh phá ngày càng ác liệt",cuộc chiến ác liệt * địch đánh phá ngày càng ác liệt
ác liệt,tính từ,"(khẩu ngữ, hiếm) (hiện tượng tự nhiên) xấu tồi tệ, gây nhiều thiệt hại: thời tiết ác liệt",thời tiết ác liệt
ác mỏ,danh từ,con vẹt; thường dùng để ví người cay nghiệt: quằm quặm như con ác mỏ (tng),quằm quặm như con ác mỏ (tng)
ác mộng,danh từ,"(văn chương) giấc mơ dữ, thấy những điều không lành đáng sợ; cũng dùng để chỉ tai hoạ lớn đã trải qua, nghĩ đến còn thấy ghê sợ, tưởng như thực như hư: gặp ác mộng * cơn ác mộng",gặp ác mộng * cơn ác mộng
ác ôn,danh từ,"(cũ) kẻ có quyền lực ở địa phương, có nhiều tội ác đối với nhân dân, đáng nguyền rủa (ví như ôn dịch): diệt ác ôn",diệt ác ôn
ác ôn,tính từ,"(khẩu ngữ) có nhiều hành động tàn ác, dã man (cũng dùng làm tiếng rủa): đồ ác ôn! * ""Thằng Xăm ác ôn lắm, nó dám bắn bà mẹ như chơi."" (AĐức; 16)","đồ ác ôn! * ""Thằng Xăm ác ôn lắm, nó dám bắn bà mẹ như chơi."" (AĐức; 16)"
ác nhân,danh từ,"(cũ) kẻ làm điều ác, kẻ xấu: ""Dưới hoa dậy lũ ác nhân, Ầm ầm khốc quỷ kinh thần mọc ra."" (TKiều)","""Dưới hoa dậy lũ ác nhân, Ầm ầm khốc quỷ kinh thần mọc ra."" (TKiều)"
ác tâm,,(cũ) lòng dạ độc ác: không có ác tâm hại người,không có ác tâm hại người
ác nghiệt,tính từ,ác và khắt khe: đối xử ác nghiệt * người dì ghẻ ác nghiệt,đối xử ác nghiệt * người dì ghẻ ác nghiệt
ác nghiệp,danh từ,"hậu quả sẽ phải gánh chịu ở kiếp sau do tội ác ở kiếp này tạo nên, theo quan niệm của đạo Phật: ""Làm cho thảm thiết đoạ đày, Cho bõ lại ngày ác nghiệp dương gian!"" (BCB)","""Làm cho thảm thiết đoạ đày, Cho bõ lại ngày ác nghiệp dương gian!"" (BCB)"
ác nghiệp,tính từ,"(cũ) như ác nghiệt: ""Phải người ác nghiệp cơ cầu, Hai con quan Trạng rủ nhau ăn mày!"" (PCCH)","""Phải người ác nghiệp cơ cầu, Hai con quan Trạng rủ nhau ăn mày!"" (PCCH)"
ác thú,danh từ,"thú dữ, ăn thịt người: con ác thú",con ác thú
ác ý,danh từ,"dụng ý xấu: nói vui, không có ác ý gì","nói vui, không có ác ý gì"
ách tắc,động từ,"(giao thông) tắc, nghẽn lại: ách tắc giao thông",ách tắc giao thông
ách tắc,động từ,"tắc nghẽn, đình trệ: công việc bị ách tắc vì thiếu vốn * giải quyết những chỗ ách tắc trong khâu quản lí",công việc bị ách tắc vì thiếu vốn * giải quyết những chỗ ách tắc trong khâu quản lí
ách tắc,danh từ,"sự tắc nghẽn, sự khó khăn trở ngại: công việc đang gặp ách tắc * ách tắc luôn xảy ra trong giờ cao điểm",công việc đang gặp ách tắc * ách tắc luôn xảy ra trong giờ cao điểm
ác vàng,danh từ,"(cũ, văn chương) mặt trời: ""Lần lần thỏ bạc ác vàng, Xót người trong hội đoạn tràng đòi cơn!"" (TKiều)","""Lần lần thỏ bạc ác vàng, Xót người trong hội đoạn tràng đòi cơn!"" (TKiều)"
ách,danh từ,"đoạn gỗ cong mắc trên vai trâu bò để buộc dây kéo cày, kéo xe.",ách nô lệ
ách,động từ,"dừng lại, không tiếp tục tiến hành được: công việc bị ách lại",công việc bị ách lại
ách,động từ,"(Khẩu ngữ) ngăn lại, bắt phải dừng: bị công an ách lại hỏi giấy tờ",bị công an ách lại hỏi giấy tờ
ách,tính từ,"(bụng) đầy ứ, có cảm giác tức, khó chịu: ăn no ách bụng",ăn no ách bụng
ác tính,tính từ,"(bệnh tật) hiểm nghèo, có thể gây tử vong trong thời gian ngắn: u ác tính * sốt rét ác tính",u ác tính * sốt rét ác tính
ad hoc,phụ từ,"chỉ riêng cho một trường hợp, một việc cụ thể nào đó: một giải pháp ad hoc",một giải pháp ad hoc
ái chà,cảm từ,"(khẩu ngữ) tiếng thốt ra biểu lộ sự thích thú hay ngạc nhiên: ái chà, đẹp ghê! * ""Ái chà! Thế thì nhất bu mày! Nhất vợ nhì trời."" (NCao; 27)","ái chà, đẹp ghê! * ""Ái chà! Thế thì nhất bu mày! Nhất vợ nhì trời."" (NCao; 27)"
